proj_code,country,via,inco,ship_mode,prod_grp,sub_class,vendor,brand,dosage,dosage_form,per_pack_qty,line_qty,line_value,pack_price,unit_price,manu_site,first_line,weight,freight,insurance,delay,total_cost,quote_year,quote_month,quote_day,po_year,po_month,po_day,sch_del_year,sch_del_month,sch_del_day,actual_del_year,actual_del_month,actual_del_day
100-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,Reveal,300mg,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,780.34,0.83,0,1332.17,2005,12,12,2006,2,16,2006,6,2,2006,6,2
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,10mg/ml,Oral suspension,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,358.0,4521.5,9.31,0,10730.81,2006,5,26,2006,7,31,2006,11,14,2006,11,14
100-CI-T01,Côte d'Ivoire,Direct Drop,FCA,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,300mg,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,171.0,1653.78,60.09,0,41713.869999999995,2006,3,8,2006,5,13,2006,8,27,2006,8,27
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,150mg,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855.0,16007.06,191.34,0,143559.2,2006,3,13,2006,5,18,2006,9,1,2006,9,1
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,7590.0,45450.08,182.68,0,167232.76,2006,2,20,2006,4,27,2006,8,11,2006,8,11
112-NG-T01,Nigeria,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,10mg/ml,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504.0,5920.42,3.34,0,8149.360000000001,2006,4,9,2006,6,14,2006,9,28,2006,9,28
110-ZM-T01,Zambia,Direct Drop,DDU,Air,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Stocrin/Sustiva,200mg,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,328.0,0.0,6.57,0,4380.57,2006,7,20,2006,9,24,2007,1,8,2007,1,8
109-TZ-T01,Tanzania,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478.0,6212.41,91.39,0,67138.35,2006,6,5,2006,8,10,2006,11,24,2006,11,24
112-NG-T01,Nigeria,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,479.0,4861.14,0.8,0,5394.290000000001,2006,6,18,2006,8,23,2006,12,7,2006,12,7
110-ZM-T01,Zambia,Direct Drop,CIP,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,643.0,0.0,172.89,0,115252.89,2006,8,11,2006,11,13,2007,1,30,2007,1,30
